agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Antioch Police Department,120.0,Local police department,CA,Contra Costa,Antioch,94509,6013,,
Sandy Springs Police Department,120.0,Local police department,GA,Fulton,Sandy Springs,30328,13121,,
Albemarle County Police Department,120.0,Local police department,VA,Albemarle,Charlottesville,22902,51003,,
Illinois Secretary of State Police,120.0,Special jurisdiction,IL,Sangamon,Springfield,62701,17167,,
St. Mary's County Sheriff's Office,120.0,Sheriff's office,MD,St. Marys,Leonardtown,20650,24037,,
Nampa Police Department,119.0,Local police department,ID,Canyon,Nampa,83651,16027,,
Spartanburg Public Safety Department,119.0,Local police department,SC,Spartanburg,Spartanburg,29304,45083,,
West New York Police,119.0,Local police department,NJ,Hudson,West New York,7093,34017,,
Lee's Summit Police Department,119.0,Local police department,MO,Jackson,Lee'S Summit,64086,29095,,
Utah County Sheriff's Office,119.0,Sheriff's office,UT,Utah,Spanish Fork,84660,49049,,
Bristol Police Department,119.0,Local police department,CT,Hartford,Bristol,6010,9003,,
Shelby County Sheriff's Office,119.0,Sheriff's office,AL,Shelby,Columbiana,35051,1117,,
New York City Bureau of Fire Investigation,119.0,Special jurisdiction,NY,Kings,Brooklyn,11201,36047,,
West Covina Police Department,119.0,Local police department,CA,Los Angeles,West Covina,91790,6037,,
Kearny Police,119.0,Local police department,NJ,Hudson,Kearny,7032,34017,,
Sumter County Sheriff's Office,118.0,Sheriff's office,SC,Sumter,Sumter,29150,45085,,
Port Arthur Police Department,118.0,Local police department,TX,Jefferson,Port Arthur,77641,48245,,
Farmington Hills Police Department,118.0,Local police department,MI,Oakland,Farmington,48336,26125,,
Framingham Police Department,118.0,Local police department,MA,Middlesex,Framingham,1702,25017,,
Sauk County Sheriff's Office,118.0,Sheriff's office,WI,Sauk,Baraboo,53913,55111,,
Wisconsin Department of Transportation Safety & Office of Highway,118.0,Special jurisdiction,WI,Dane,Madison,53707,55025,,
Maine Inland Fish And Wildlife Department,117.0,Special jurisdiction,ME,Kennebec,Augusta,4330,23011,,
Oswego County Sheriff's Office,117.0,Sheriff's office,NY,Oswego,Oswego,13126,36075,,
Wayne Township Police,117.0,Local police department,NJ,Passaic,Wayne,7470,34031,,
Anderson Police,117.0,Local police department,IN,Madison,Anderson,46016,18095,,
Hackensack Police,117.0,Local police department,NJ,Bergen,Hackensack,7601,34003,,
Hudson County Prosecutor's Chief,117.0,Special jurisdiction,NJ,Hudson,Jersey City,7306,34017,,
Springdale Police Department,117.0,Local police department,AR,Washington,Springdale,72764,5143,,
Bergen County Prosecutor's Chief,117.0,Special jurisdiction,NJ,Bergen,Hackensack,7601,34003,,
Fayetteville Police Department,117.0,Local police department,AR,Washington,Fayetteville,72701,5143,,
Greenburgh Town Police Department,116.0,Local police department,NY,Westchester,White Plains,10607,36119,,
Wyandotte County Sheriff's Office,116.0,Sheriff's office,KS,Wyandotte,Kansas City,66101,20209,,
Bloomington Police Department,116.0,Local police department,MN,Hennepin,Bloomington,55431,27053,,
Iowa Department of Transportation - Motor Vehicle Division,116.0,Special jurisdiction,IA,Polk,Ankeny,50021,19153,,
East Point Police Department,116.0,Local police department,GA,Fulton,East Point,30344,13121,,
Manchester Police Department,116.0,Local police department,CT,Hartford,Manchester,6045,9003,,
Vallejo Police Department,116.0,Local police department,CA,Solano,Vallejo,94590,6095,,
Greene County Sheriff's Office,116.0,Sheriff's office,MO,Greene,Springfield,65802,29077,,
Charlottesville Police Dept.,115.0,Local police department,VA,Charlottesville City,Charlottesville,22902,51540,,
Clay County Sheriff's Office,115.0,Sheriff's office,MO,Clay,Liberty,64068,29047,,
Oak Park Police Dept,115.0,Local police department,IL,Cook,Oak Park,60302,17031,,
Ottawa County Sheriff's Office,115.0,Sheriff's office,MI,Ottawa,West Olive,49460,26139,,
Tupelo Police Department,115.0,Local police department,MS,Lee,Tupelo,38804,28081,,
Orange County Sheriff's Office,115.0,Sheriff's office,NC,Orange,Hillsborough,27278,37135,,
Whitfield County Sheriff's Office,115.0,Sheriff's office,GA,Whitfield,Dalton,30720,13313,,
Lauderhill Police Department,115.0,Local police department,FL,Broward,Lauderhill,33313,12011,,
Montgomery County Sheriff's Office,115.0,Sheriff's office,VA,Montgomery,Christiansburg,24073,51121,,
Arlington Heights Police Department,114.0,Local police department,IL,Cook,Arlington Heights,60005,17031,,
Annapolis Police Department,114.0,Local police department,MD,Anne Arundel,Annapolis,21401,24003,,
Brunswick County Sheriff's Office,114.0,Sheriff's office,NC,Brunswick,Bolivia,28422,37019,,
Wilson Police Department,114.0,Local police department,NC,Wilson,Wilson,27894,37195,,
Hickory Police Department,114.0,Local police department,NC,Catawba,Hickory,28602,37035,,
Dougherty County Sheriff's Office,114.0,Sheriff's office,GA,Dougherty,Albany,31702,13095,,
St. Joseph Police Dept,114.0,Local police department,MO,Buchanan,St Joseph,64501,29021,,
Cook County Forest Preserve District Police,114.0,Special jurisdiction,IL,Cook,River Forest,60305,17031,,
Houston County Sheriff's Office,114.0,Sheriff's office,GA,Houston,Warner Robins,31088,13153,,
Putnam County Sheriff's Office,114.0,Sheriff's office,FL,Putnam,Palatka,32177,12107,,
Palm Beach Gardens Police Department,114.0,Local police department,FL,Palm Beach,Palm Beach Gardens,33410,12099,,
Carlsbad Police Department,114.0,Local police department,CA,San Diego,Carlsbad,92010,6073,,
Harris County Constable Pct. 3,114.0,Constable/marshal,TX,Harris,Baytown,77521,48201,,
Jackson County Sheriff's Office,114.0,Sheriff's office,OR,Jackson,Medford,97501,41029,,
Clayton County Sheriff's Office,113.0,Sheriff's office,GA,Clayton,Jonesboro,30236,13063,,
Bannock County Sheriff's Office,113.0,Sheriff's office,ID,Bannock,Pocatello,83205,16005,,
Fauquier County Sheriff's Office,113.0,Sheriff's office,VA,Fauquier,Warrenton,20186,51061,,
Battle Creek Police Department,113.0,Local police department,MI,Calhoun,Battle Creek,49014,26025,,
Virginia Alcohol Beverage Control  - Bureau of Law Enforcement,113.0,Special jurisdiction,VA,Richmond City,Richmond,23261,51760,,
Colorado State Parks - Enforcement,113.0,Special jurisdiction,CO,Douglas,Littleton,80125,8035,,
Flagstaff Police Department,113.0,Local police department,AZ,Coconino,Flagstaff,86001,4005,,
Solano County Sheriff's Office,113.0,Sheriff's office,CA,Solano,Fairfield,94533,6095,,
Pittsylvania County Sheriff's Office,113.0,Sheriff's office,VA,Pittsylvania,Chatham,24531,51143,,
Oklahoma Dept. of Wildlife Conservation,113.0,Special jurisdiction,OK,Oklahoma,"Okla. City,",73105,40109,,
Meriden Police Department,113.0,Local police department,CT,New Haven,Meriden,6451,9009,,
Daly City Police Department,113.0,Local police department,CA,San Mateo,Daly City,94015,6081,,
Covington Police Department,112.0,Local police department,KY,Kenton,Covington,41014,21117,,
Pulaski County Sheriff's Office,112.0,Sheriff's office,AR,Pulaski,Little Rock,72204,5119,,
Jacksonville Police Department,112.0,Local police department,NC,Onslow,Jacksonville,28541,37133,,
Henry County Sheriff's Office,112.0,Sheriff's office,VA,Henry,Martinsville,24112,51089,,
Skokie Police Dept,112.0,Local police department,IL,Cook,Skokie,60077,17031,,
Sparks Police Department,112.0,Local police department,NV,Washoe,Sparks,89434,32031,,
Hempstead Village Police Department,112.0,Local police department,NY,Nassau,Hempstead,11550,36059,,
Saratoga County Sheriff's Office,112.0,Sheriff's office,NY,Saratoga,Ballston Spa,12020,36091,,
Taunton Police Department,112.0,Local police department,MA,Bristol,Taunton,2780,25005,,
Chapel Hill Police Department,112.0,Local police department,NC,Orange,Chapel Hill,27514,37135,,
Palatine Police Dept,112.0,Local police department,IL,Cook,Palatine,60067,17031,,
St. Charles Police Dept,112.0,Local police department,MO,St. Charles,St Charles,63303,29183,,
Shawnee County Sheriff's Office,112.0,Sheriff's office,KS,Shawnee,Topeka,66603,20177,,
San Antonio Park Rangers,112.0,Special jurisdiction,TX,Bexar,San Antonio,78205,48029,,
College Station Police Department,112.0,Local police department,TX,Brazos,College Station,77842,48041,,
Morris County Prosecutor's Office,112.0,Special jurisdiction,NJ,Morris,Morristown,7963,34027,,
Warner Robins Police Dept,112.0,Local police department,GA,Houston,Warner Robins,31099,13153,,
Merced County Sheriff's Office,112.0,Sheriff's office,CA,Merced,Merced,95340,6047,,
West Virginia Division of Natural Resources,112.0,Special jurisdiction,WV,Kanawha,Charleston,25305,54039,,
Pennsylvania Capitol Police Department,111.0,Special jurisdiction,PA,Dauphin,Harrisburg,17125,42043,,
Bowling Green Police Department,111.0,Local police department,KY,Warren,Bowling Green,42101,21227,,
Kingsport Police Department,111.0,Local police department,TN,Sullivan,Kingsport,37660,47163,,
Dorchester County Sheriff's Office,111.0,Sheriff's office,SC,Dorchester,Saint George,29477,45035,,
Cache County Sheriff's Office,111.0,Sheriff's office,UT,Cache,Logan,84321,49005,,
Gloucester Township Police,111.0,Local police department,NJ,Camden,Blackwood,8012,34007,,
Douglas County Sheriff's Office,111.0,Sheriff's office,OR,Douglas,Roseburg,97470,41019,,
Belleville Police,111.0,Local police department,NJ,Essex,Belleville,7109,34013,,
Vacaville Police Department,111.0,Local police department,CA,Solano,Vacaville,95688,6095,,
Stratford Police Department,111.0,Local police department,CT,Fairfield,Stratford,6614,9001,,
Bellingham Police Department,111.0,Local police department,WA,Whatcom,Bellingham,98225,53073,,
North Miami Beach Police Department,111.0,Local police department,FL,Miami-Dade,North Miami Beach,33162,12086,,
Medford Police Department,110.0,Local police department,MA,Middlesex,Medford,2155,25017,,
Frederick County Sheriff's Office,110.0,Sheriff's office,VA,Frederick,Winchester,22602,51069,,
Clinton Township Police Department,110.0,Local police department,MI,Macomb,Clinton Township,48036,26099,,
York Police Department,110.0,Local police department,PA,York,York,17401,42133,,
Edinburg Police Department,110.0,Local police department,TX,Hidalgo,Edinburg,78539,48215,,
East Chicago Police,110.0,Local police department,IN,Lake,East Chicago,46312,18089,,
Appleton Police Department,110.0,Local police department,WI,Outagamie,Appleton,54911,55087,,
Calvert County Sheriff's Office,110.0,Sheriff's office,MD,Calvert,Prince Frederick,20678,24009,,
Edmond Police Department,110.0,Local police department,OK,Oklahoma,Edmond,73034,40109,,
Butte County Sheriff's Office,110.0,Sheriff's office,CA,Butte,Oroville,95965,6007,,
Orange Police,110.0,Local police department,NJ,Essex,Orange,7050,34013,,
Barnstable Police Department,110.0,Local police department,MA,Barnstable,Hyannis,2601,25001,,
Sandy Police Department,110.0,Local police department,UT,Salt Lake,Sandy,84070,49035,,
Niagara County Sheriff's Office,110.0,Sheriff's office,NY,Niagara,Lockport,14095,36063,,
Spalding County Sheriff's Office,110.0,Sheriff's office,GA,Spalding,Griffin,30224,13255,,
Alabama Alcoholic Beverage Control Board,110.0,Special jurisdiction,AL,Montgomery,Montgomery,36109,1101,,
Milford Police Department,110.0,Local police department,CT,New Haven,Milford,6460,9009,,
Virginia Department of Conservation And Recreation,110.0,Special jurisdiction,VA,Richmond City,Richmond,23219,51760,,
Fort Lee Police,109.0,Local police department,NJ,Bergen,Fort Lee,7024,34003,,
Nassau County Sheriff's Office,109.0,Sheriff's office,FL,Nassau,Yulee,32097,12089,,
North Richland Hills Police Department,109.0,Local police department,TX,Tarrant,North Richland Hills,76180,48439,,
Florence Police Department,109.0,Local police department,SC,Florence,Florence,29501,45041,,
Montclair Police,109.0,Local police department,NJ,Essex,Montclair,7042,34013,,
Idaho Fish & Game Dept. - Law Enforcement,109.0,Special jurisdiction,ID,Ada,Boise,83707,16001,,
Rialto Police Department,109.0,Local police department,CA,San Bernardino,Rialto,92376,6071,,
Downey Police Department,109.0,Local police department,CA,Los Angeles,Downey,90241,6037,,
Colonie Town Police Department,109.0,Local police department,NY,Albany,Latham,12110,36001,,
Imperial County Sheriff's Office,109.0,Sheriff's office,CA,Imperial,El Centro,92243,6025,,
Larimer County Sheriff's Office,109.0,Sheriff's office,CO,Larimer,Fort Collins,80525,8069,,
Dutchess County Sheriff's Office,108.0,Sheriff's office,NY,Dutchess,Poughkeepsie,12601,36027,,
Perth Amboy Police Department,108.0,Local police department,NJ,Middlesex,Perth Amboy,8861,34023,,
Santa Maria Police Department,108.0,Local police department,CA,Santa Barbara,Santa Maria,93454,6083,,
Grand Junction Police Department,108.0,Local police department,CO,Mesa,Grand Junction,81501,8077,,
Riviera Beach Police Department,108.0,Local police department,FL,Palm Beach,Riviera Beach,33404,12099,,
Nye County Sheriff's Office,108.0,Sheriff's office,NV,Nye,Pahrump,89060,32023,,
San Mateo Police Department,108.0,Local police department,CA,San Mateo,San Mateo,94403,6081,,
North Carolina Alcohol Law Enforcement,108.0,Special jurisdiction,NC,Wake,Raleigh,27699,37183,,
Malden Police Department,107.0,Local police department,MA,Middlesex,Malden,2148,25017,,
Ocean City Police Department,107.0,Local police department,MD,Worcester,Ocean City,21842,24047,,
Sumter Police Department,107.0,Local police department,SC,Sumter,Sumter,29150,45085,,
Cameron County Sheriff's Office,107.0,Sheriff's office,TX,Cameron,Olmito,78575,48061,,
Bessemer Police Department,107.0,Local police department,AL,Jefferson,Bessemer,35020,1073,,
Madison County Sheriff's Office,107.0,Sheriff's office,AL,Madison,Huntsville,35801,1089,,
Rapid City Police Department,107.0,Local police department,SD,Pennington,Rapid City,57701,46103,,
Tonawanda Town Police Department,106.0,Local police department,NY,Erie,Kenmore,14223,36029,,
Harnett County Sheriff's Office,106.0,Sheriff's office,NC,Harnett,Lillington,27546,37085,,
Waukesha Police Department,106.0,Local police department,WI,Waukesha,Waukesha,53188,55133,,
Kendall County Sheriff's Office,106.0,Sheriff's office,IL,Kendall,Yorkville,60560,17093,,
Allen Police Department,106.0,Local police department,TX,Collin,Allen,75013,48085,,
Oak Lawn Police Dept,106.0,Local police department,IL,Cook,Oak Lawn,60453,17031,,
Parsippany - Troy Hills Police,106.0,Local police department,NJ,Morris,Parsippany,7054,34027,,
Victoria Police Department,106.0,Local police department,TX,Victoria,Victoria,77901,48469,,
Conway Police Dept,106.0,Local police department,AR,Faulkner,Conway,72032,5045,,
Homestead Police Department,106.0,Local police department,FL,Miami-Dade,Homestead,33030,12086,,
Fairfield Police Department,106.0,Local police department,CT,Fairfield,Fairfield,6430,9001,,
Culver City Police Department,106.0,Local police department,CA,Los Angeles,Culver City,90232,6037,,
Vermilion Parish Sheriff's Office,106.0,Sheriff's office,LA,Vermilion,Abbeville,70511,22113,,
Jackson Parish Sheriff's Office,105.0,Sheriff's office,LA,Jackson,Jonesboro,71251,22049,,
Broomfield Police Department,105.0,Local police department,CO,Broomfield,Broomfield,80020,8014,,
Poughkeepsie Police Department,105.0,Local police department,NY,Dutchess,Poughkeepsie,12602,36027,,
Cheyenne Police Department,105.0,Local police department,WY,Laramie,Cheyenne,82001,56021,,
St. Louis County Sheriff's Office,105.0,Sheriff's office,MN,St. Louis,Duluth,55802,27137,,
Acadia Parish Sheriff's Office,105.0,Sheriff's office,LA,Acadia,Crowley,70527,22001,,
Hagerstown Police Department,105.0,Local police department,MD,Washington,Hagerstown,21740,24043,,
Old Bridge Township Police,105.0,Local police department,NJ,Middlesex,Old Bridge,8857,34023,,
Sutter County Sheriff's Office,105.0,Sheriff's office,CA,Sutter,Yuba City,95993,6101,,
Newburgh City Police Department,105.0,Local police department,NY,Orange,Newburgh,12550,36071,,
Burlington Police Department,105.0,Local police department,NC,Alamance,Burlington,27216,37001,,
Clinton County Sheriff's Office,105.0,Sheriff's office,NY,Clinton,Plattsburgh,12901,36019,,
Hamden Police Department,105.0,Local police department,CT,New Haven,Hamden,6518,9009,,
Council Bluffs Police Department,105.0,Local police department,IA,Pottawattomie,Council Bluffs,51501,19155,,
Berwyn Police Dept,105.0,Local police department,IL,Cook,Berwyn,60402,17031,,
Merced Police Department,105.0,Local police department,CA,Merced,Merced,95340,6047,,
Bartlett Police Department,105.0,Local police department,TN,Shelby,Bartlett,38133,47157,,
Clovis Police Department,105.0,Local police department,CA,Fresno,Clovis,93612,6019,,
Carmel Police,104.0,Local police department,IN,Hamilton,Carmel,46032,18057,,
Bensalem Township Police Department,104.0,Local police department,PA,Bucks,Bensalem,19020,42017,,
St. George Police Department,104.0,Local police department,UT,Washington,St. George,84770,49053,,
Forrest County Sheriff's Office,104.0,Sheriff's office,MS,Forrest,Hattiesburg,39401,28035,,
Alpharetta Department of Public Safety,104.0,Local police department,GA,Fulton,Alpharetta,30004,13121,,
Linn County Sheriff's Office,104.0,Sheriff's office,IA,Linn,Cedar Rapids,52404,19113,,
Sumter County Sheriff's Office,104.0,Sheriff's office,FL,Sumter,Bushnell,33513,12119,,
Onslow County Sheriff's Office,104.0,Sheriff's office,NC,Onslow,Jacksonville,28540,37133,,
Cleveland Heights Police Department,103.0,Local police department,OH,Cuyahoga,Cleveland Hgts,44118,39035,,
Vanderburgh County Sheriff's Office,103.0,Sheriff's office,IN,Vanderburgh,Evansville,47711,18163,,
Franklin County Sheriff's Office,103.0,Sheriff's office,MO,Franklin,Union,63084,29071,,
Medford Police Department,103.0,Local police department,OR,Jackson,Medford,97501,41029,,
Middletown Township Police,103.0,Local police department,NJ,Monmouth,Middletown,7748,34025,,
Mishawaka Police,103.0,Local police department,IN,St. Joseph,Mishawaka,46544,18141,,
Lakewood Police Department,103.0,Local police department,WA,Pierce,Lakewood,98499,53053,,
Atlantic County Sheriff's Office,103.0,Sheriff's office,NJ,Atlantic,Mays Landing,8330,34001,,
Benton County Sheriff's Office,103.0,Sheriff's office,AR,Benton,Bentonville,72712,5007,,
Fairfield County Sheriff's Office,103.0,Sheriff's office,OH,Fairfield,Lancaster,43130,39045,,
Brea Police Department,103.0,Local police department,CA,Orange,Brea,92821,6059,,
South Carolina State Transport Police,103.0,Special jurisdiction,SC,Richland,Blythewood,29016,45079,,
Oro Valley Police Department,103.0,Local police department,AZ,Pima,Oro Valley,85737,4019,,
Muncie Police,102.0,Local police department,IN,Delaware,Muncie,47305,18035,,
Hoffman Estates Police Dept,102.0,Local police department,IL,Cook,Hoffman Estates,60169,17031,,
Plymouth Police Department,102.0,Local police department,MA,Plymouth,Plymouth,2360,25023,,
Southampton Town Police Department,102.0,Local police department,NY,Suffolk,Hampton Bays,11946,36103,,
Chester City Police Department,102.0,Local police department,PA,Delaware,Chester,19013,42045,,
Mesa County Sheriff's Office,102.0,Sheriff's office,CO,Mesa,Grand Junction,81501,8077,,
Janesville Police Department,102.0,Local police department,WI,Rock,Janesville,53547,55105,,
Greene County Sheriff's Office,102.0,Sheriff's office,OH,Greene,Xenia,45385,39057,,
Jupiter Police Department,102.0,Local police department,FL,Palm Beach,Jupiter,33458,12099,,
"Montana Fish, Wildlife & Parks Dept - Game Wardens",102.0,Special jurisdiction,MT,Lewis and Clark,Helena,59620,30049,,
Des Plaines Police Dept,102.0,Local police department,IL,Cook,Des Plaines,60016,17031,,
Maryland National Capital Park Police - Prince George's County,102.0,Special jurisdiction,MD,Prince Georges,Riverdale,20737,24033,,
West Jordan Police Department,102.0,Local police department,UT,Salt Lake,West Jordan,84088,49035,,
Spokane Valley Police Department,101.0,Local police department,WA,Spokane,Spokane Valley,99216,53063,,
Riley County Police Department,101.0,Local police department,KS,Riley,Manhattan,66502,20161,,
Goldsboro Police Department,101.0,Local police department,NC,Wayne,Goldsboro,27533,37191,,
Jefferson County Sheriff's Office,101.0,Sheriff's office,WI,Jefferson,Jefferson,53549,55055,,
Kanawha County Sheriff's Office,101.0,Sheriff's office,WV,Kanawha,Charleston,25301,54039,,
Massachusetts Environmental Police,101.0,Special jurisdiction,MA,Suffolk,Boston,2114,25025,,
Avondale Police Department,101.0,Local police department,AZ,Maricopa,Avondale,85323,4013,,
Gainesville Police Department,101.0,Local police department,GA,Hall,Gainesville,30501,13139,,
Euclid Police Department,100.0,Local police department,OH,Cuyahoga,Euclid,44123,39035,,
Franklin Parish Sheriff's Office,100.0,Sheriff's office,LA,Franklin,Winnsboro,71295,22041,,
Albany County Sheriff's Office,100.0,Sheriff's office,NY,Albany,Albany,12207,36001,,
St. Cloud Police Department,100.0,Local police department,MN,Stearns,St. Cloud,56302,27145,,
Baldwin County Sheriff's Office,100.0,Sheriff's office,AL,Baldwin,Bay Minette,36507,1003,,
Everett Police Department,100.0,Local police department,MA,Middlesex,Everett,2149,25017,,
Douglas County Sheriff's Office,100.0,Sheriff's office,NV,Douglas,Minden,89423,32005,,
Lorain Police Department,100.0,Local police department,OH,Lorain,Lorain,44052,39093,,
De Soto County Sheriff's Office,100.0,Sheriff's office,MS,DeSoto,Hernando,38632,28033,,
Kokomo Police,100.0,Local police department,IN,Howard,Kokomo,46901,18067,,
Missoula Police Department,100.0,Local police department,MT,Missoula,Missoula,59802,30063,,
Griffin Police Department,100.0,Local police department,GA,Spalding,Griffin,30224,13255,,
Hot Springs Police Department,100.0,Local police department,AR,Garland,Hot Springs,71902,5051,,
Mississippi Bureau of Narcotics,100.0,Special jurisdiction,MS,Hinds,Jackson,39272,28049,,
Westland Police Department,100.0,Local police department,MI,Wayne,Westland,48185,26163,,
Dubuque Police Department,100.0,Local police department,IA,Dubuque,Dubuque,52004,19061,,
Elk Grove Village Police Dept,100.0,Local police department,IL,Cook,Elk Grove Village,60007,17031,,
Johnson County Sheriff's Office,100.0,Sheriff's office,IN,Johnson,Franklin,46131,18081,,
Westminster Police Department,100.0,Local police department,CA,Orange,Westminster,92683,6059,,
Meridian Police Department,99.0,Local police department,MS,Lauderdale,Meridian,39301,28075,,
Pickens County Sheriff's Office,99.0,Sheriff's office,SC,Pickens,Pickens,29671,45077,,
Williamson County Sheriff's Office,99.0,Sheriff's office,TN,Williamson,Franklin,37064,47187,,
Howell Township Police,99.0,Local police department,NJ,Monmouth,Howell,7731,34025,,
Conroe Police Department,99.0,Local police department,TX,Montgomery,Conroe,77301,48339,,
York-Poquoson Sheriff's Office,99.0,Sheriff's office,VA,York,Yorktown,23690,51199,,
Orange County Sheriff's Office,99.0,Sheriff's office,NY,Orange,Goshen,10924,36071,,
Collierville Police Department,99.0,Local police department,TN,Shelby,Collierville,38017,47157,,
York County Sheriff's Office,99.0,Sheriff's office,PA,York,York,17401,42133,,
Woonsocket Police Department,99.0,Local police department,RI,Providence,Woonsocket,2895,44007,,
Baltimore (City) Sheriff's Office,99.0,Sheriff's office,MD,Baltimore City,Baltimore,21202,24510,,
Provo Police Department,99.0,Local police department,UT,Utah,Provo,84603,49049,,
Carroll County Sheriff's Office,99.0,Sheriff's office,GA,Carroll,Carrollton,30116,13045,,
Roanoke County Sheriff's Office,99.0,Sheriff's office,VA,Roanoke,Salem,24153,51161,,
South Gate Police Department,99.0,Local police department,CA,Los Angeles,South Gate,90280,6037,,
Middletown Police Department,99.0,Local police department,CT,Middlesex,Middletown,6457,9007,,
Rogers Police Department,99.0,Local police department,AR,Benton,Rogers,72758,5007,,
Redondo Beach Police Department,99.0,Local police department,CA,Los Angeles,Redondo Beach,90277,6037,,
Monroe County Sheriff's Office,98.0,Sheriff's office,MI,Monroe,Monroe,48161,26115,,
East Providence Police Department,98.0,Local police department,RI,Providence,East Providence,2914,44007,,
Owensboro Police Department,98.0,Local police department,KY,Daviess,Owensboro,42303,21059,,
Lincoln County Sheriff's Office,98.0,Sheriff's office,NC,Lincoln,Lincolnton,28093,37109,,
Mansfield Police Department,98.0,Local police department,OH,Richland,Mansfield,44902,39139,,
Napa County Sheriff's Office,98.0,Sheriff's office,CA,Napa,Napa,94558,6055,,
Black Hawk County Sheriff's Office,98.0,Sheriff's office,IA,Black Hawk,Waterloo,50703,19013,,
Teaneck Police,98.0,Local police department,NJ,Bergen,Teaneck,7666,34003,,
Auburn Police Department,98.0,Local police department,AL,Lee,Auburn,36830,1081,,
Port of Seattle Police Department,98.0,Special jurisdiction,WA,King,Seattle,98168,53033,,
Colorado Bureau of Investigation,97.0,Special jurisdiction,CO,Jefferson,Denver,80215,8059,,
Long Branch Police,97.0,Local police department,NJ,Monmouth,Long Branch,7740,34025,,
Warren County Sheriff's Office,97.0,Sheriff's office,OH,Warren,Lebanon,45036,39165,,
Johnston County Sheriff's Office,97.0,Sheriff's office,NC,Johnston,Smithfield,27577,37101,,
Greater Cleveland Regional Transit Authority Police,97.0,Special jurisdiction,OH,Cuyahoga,Cleveland,44113,39035,,
Pointe Coupee Parish Sheriff's Office,97.0,Sheriff's office,LA,Pointe Coupee,New Roads,70760,22077,,
Mountain View Police Department,97.0,Local police department,CA,Santa Clara,Mountain View,94041,6085,,
Gadsden Police Department,97.0,Local police department,AL,Etowah,Gadsden,35902,1055,,
Oshkosh Police Department,96.0,Local police department,WI,Winnebago,Oshkosh,54903,55139,,
Jackson County Sheriff's Office,96.0,Sheriff's office,MO,Jackson,Lees Summit,64064,29095,,
Southaven Police Department,96.0,Local police department,MS,DeSoto,Southaven,38671,28033,,
Redwood City Police Department,96.0,Local police department,CA,San Mateo,Redwood City,94063,6081,,
Pharr Police Department,96.0,Local police department,TX,Hidalgo,Pharr,78577,48215,,
Weymouth Police Department,96.0,Local police department,MA,Norfolk,Weymouth,2188,25021,,
Eau Claire Police Department,96.0,Local police department,WI,Eau Claire,Eau Claire,54702,55035,,
Comal County Sheriff's Office,96.0,Sheriff's office,TX,Comal,New Braunfels,78130,48091,,
Tuscaloosa County Sheriff's Office,96.0,Sheriff's office,AL,Tuscaloosa,Tuscaloosa,35401,1125,,
Carson City Sheriff's Office,96.0,Sheriff's office,NV,Carson City,Carson City,89701,32510,,
Greenville Police Department,96.0,Local police department,MS,Washington,Greenville,38702,28151,,
Orland Park Police Dept,96.0,Local police department,IL,Cook,Orland Park,60462,17031,,
Metra Police Dept,96.0,Special jurisdiction,IL,Cook,Chicago,60661,17031,,
Hawthorne Police Department,96.0,Local police department,CA,Los Angeles,Hawthorne,90250,6037,,
Goodyear Police Department,96.0,Local police department,AZ,Maricopa,Goodyear,85338,4013,,
North Port Police Department,96.0,Local police department,FL,Sarasota,North Port,34287,12115,,
Chino Police Department,96.0,Local police department,CA,San Bernardino,Chino,91710,6071,,
Egg Harbor Township Police,95.0,Local police department,NJ,Atlantic,Egg Harbor Township,8234,34001,,
San Leandro Police Department,95.0,Local police department,CA,Alameda,San Leandro,94577,6001,,
San Marcos Police Department,95.0,Local police department,TX,Hays,San Marcos,78666,48209,,
Victoria County Sheriff's Office,95.0,Sheriff's office,TX,Victoria,Victoria,77901,48469,,
Gregg County Sheriff's Office,95.0,Sheriff's office,TX,Gregg,Longview,75601,48183,,
La Crosse Police Department,95.0,Local police department,WI,La Crosse,La Crosse,54601,55063,,
New York State Medicaid Fraud Control Unit,95.0,Special jurisdiction,NY,New York,New York,10271,36061,,
Missouri State Water Patrol,95.0,Special jurisdiction,MO,Cole,Jefferson City,65102,29051,,
Santa Cruz Police Department,95.0,Local police department,CA,Santa Cruz,Santa Cruz,95060,6087,,
Enfield Police Department,95.0,Local police department,CT,Hartford,Enfield,6082,9003,,
Tustin Police Department,95.0,Local police department,CA,Orange,Tustin,92780,6059,,
Montgomery County Sheriff's Office,95.0,Sheriff's office,PA,Montgomery,Norristown,19404,42091,,
Alameda Police Department,94.0,Local police department,CA,Alameda,Alameda,94501,6001,,
Botetourt County Sheriff's Office,94.0,Sheriff's office,VA,Botetourt,Fincastle,24090,51023,,
Peabody Police Department,94.0,Local police department,MA,Essex,Peabody,1960,25009,,
Greece Town Police Department,94.0,Local police department,NY,Monroe,Rochester,14612,36055,,
Huntington Police Department,94.0,Local police department,WV,Cabell,Huntington,25701,54011,,
Lakewood Police Department,94.0,Local police department,OH,Cuyahoga,Lakewood,44107,39035,,
San Juan County Sheriff's Office,94.0,Sheriff's office,NM,San Juan,Aztec,87410,35045,,
Washington County Sheriff's Office,94.0,Sheriff's office,MD,Washington,Hagerstown,21740,24043,,
Brooklyn Park Police Department,94.0,Local police department,MN,Hennepin,Brooklyn Park,55443,27053,,
