agency_name,addr1,addr2
Caspian Police Department,1 Museum,PO Box 284
Cass City Police Department,6506 Main St, 
Cass County Constable Pct. 1,P.O. Box 1161, 
Cass County Constable Pct. 3,P. O. Box 396, 
Cass County Constable Pct. 4,P.O. Box 35, 
Cass County Sheriff's Office,2501 W Wall St Ste 100, 
Cass County Sheriff's Office,5 W 7Th St, 
Cass County Sheriff's Office,Po Box 1119,300 Minnesota Ave
Cass County Sheriff's Office,100 Court Park, 
Cass County Sheriff's Office,336 Main St, 
Cass County Sheriff's Office,101 N Front St, 
Cass County Sheriff's Office,600 Highway 8 N,PO Box 180
Cass County Sheriff's Office,211 9Th St S,PO Box 488
Cass County Sheriff's Office,321 M 62, 
Cass-Foster Township Police Department,1209 Valley Road, 
Casselberry Police Department,4195 South U.S. 17-92, 
Cassia County Sheriff's Office,129 E 14Th St, 
Cassopolis Police Department,117 So. Broadway St., 
Cassville Police Department,302 Main Street, 
Cassville Police Department,1034 East Dewey Street,P.O. Box 171
Castalia Police Department,126 Main Street,P.O. Box 476
Castle Hills Police Department,209 Lemonwood Drive, 
Castle Rock Police Department,141 A Street Sw,PO BOX 475
Castle Rock Police Department,100 Perry St, 
Castle Shannon Borough Police Department,3310 Mcroberts Rd, 
Castleberry I.S.D. Police Dept.,215 Churchill Road, 
Castleton Police Department,Main Street, 
Castro County Constable Pct. 3,"100 E. Bedord, Rm 211",Castro Co Courthouse
Castro County Sheriff's Office,"100 E Bedford St, Rm 113", 
Castroville Police Department,411 London Street, 
Caswell Beach Police Department,1100 Caswell Beach Road, 
Caswell Center Police,2415 West Vernon Ave, 
Caswell County Sheriff's Office,Po Box 1177, 
Catahoula Parish Sheriff's Office,Po Box 655, 
Catasauqua Borough Police Department,118 Bridge Street, 
Catawba County Sheriff's Office,100 Southwest Blvd Bldg B, 
Catawba Island Township Police Department,4822 Cemetery Road, 
Catawba Police Department,Po Box 848, 
Catawissa Borough Police Department,118 N Third St,Po Box 44
Cathedral City Police Department,68-700 Avenida Lalo Guerrero, 
Catlettsburg Police Department,P.O. Box 476, 
Catoosa County Sheriff's Office,Po Box 909, 
Catoosa Police Department,P. O. Drawer 190, 
Catoosa Public Schools Campus Police Dept,2000 South Cherokee, 
Catron County Sheriff's Office,Po Box 467, 
Catskill Village Police Department,422 Main Street, 
Cattaraugus County Sheriff's Office,301 Court St, 
Causeway Police Department,3943 N. Causeway Blvd, 
Cavalier County Sheriff's Office,901 3Rd St, 
Cavalier Police Department,Po Box 202, 
Cave City Police Department,P.O. Box 69, 
Cave City Police Department,P.O. Box 567, 
Cave Creek Marshal's Office,37622 North Cave Creek Road, 
Cave Spring Police Department,P.O. Box 365, 
Cave Springs Police Department,P.O. Box 65, 
Cave-In-Rock Police Dept,110 N. Canal Street,P.O. Box 158
Cawker City Police Department,Po Box 2, 
Cayce Public Safety,Po Box 2004,PO Box 2004
Cayuga County Sheriff's Office,7445 County House Rd,Public Safety Bldg
Cayuga Heights Village Police Department,836 Hanshaw Road, 
Cayuga Police,301 South First Street,P. O. Box 33
Cazenovia Village Police Department,90 Albany Street, 
Cecil County Sheriff's Office,"107 Chesapeake Blvd, Ste 112", 
Cecil Township Police Department,3599 Millers Run Rd Suite 102, 
Cedar Bluff Police Department,P.O. Box 807, 
Cedar Bluff Police Department,Post Office Box 38, 
Cedar Bluffs Police Dept,P.O. Box 249, 
Cedar City Police Department,10 North Main, 
Cedar County Sheriff's Office,Po Box 415,101 South Broadway
Cedar County Sheriff's Office,711 E South St, 
Cedar County Sheriff's Office,Po Box 158, 
Cedar Falls Police Department,220 Clay, 
Cedar Grove Police Department,Post Office Box 536, 
Cedar Grove Township Police,525 Pompton Avenue, 
Cedar Hill City Marshal's Office,502 Cedar Street, 
Cedar Hill I.S.D. Police Dept.,1 Longhorn Blvd, 
Cedar Hill Police Department,285 Uptown Blvd., 
Cedar Key Police Department,Post Office Box 339, 
Cedar Lake Police,7408 Constitution,P. O. Box  305
Cedar Park Police Department,911 Quest Parkway, 
Cedar Rapids Airport Police,2929 Lippisch Place, 
Cedar Rapids Police Department,505 1St St Sw, 
Cedar Springs Police Department,66 South Main,PO Box 310
Cedar Vale Police Department,Po Box 119, 
Cedar Valley College Police Dept.,3030 North Dallas Ave., 
Cedarburg Police Department,W75 N444 Wauwatosa Road, 
Cedaredge Police Department,P O Box 398, 
Cedartown Police Department,P.O. Box 389, 
Cedarville Police Department,P.O. Box 51, 
Celeste Police Department,P. O. Box 399, 
Celina Police Department,202 North Main Street, 
Celina Police Department,501 E Pecan, 
Celina Police Department,P.O. Box 449, 
Cement Police Department,P. O. Box 337, 
Centennial Lakes Police Department,54 North Road, 
Center Harbor Police Department,Po Box 140,36 Main Street
Center Hill Police Department,Post Office Box 649, 
Center I.S.D. Police Dept.,404 Mosby St., 
Center Line Dept of Public Safety,7070 East Ten Mile Rd, 
Center Police Department,P O Box 400, 
Center Police Department,P O Box 1900, 
Center Police Department,Po Box 147, 
Center Police Department,Po Box 377, 
Center Township Police Department,224 Ctr Grange Rd, 
Centerton Police Department,P.O. Box 208, 
Centerville Borough Police Department,100 East End Road, 
Centerville Police,204 East Main Street,P. O. Box 125
Centerville Police Department,Po Box C,741 Main Street
Centerville Police Department,250 North Main, 
Centerville Police Department,1125 W Van Buren, 
Centerville Police Department,500 N. Houston Lake Blvd, 
Centerville Police Department,P.O. Box 238, 
Centerville Police Department,155 West  Spring Valley Road, 
Central Arizona College Police Department,8470 North Overfield Road, 
Central Berks Regional Police Department,2147 Perkiomen Avenue, 
Central City Police Department,1101 Highway 255, 
Central City Police Department,214 N. First St., 
Central City Police Department,P O Box 336, 
Central City Police Dept,1616 16Th Ave., 
Central City Police Dept,141 N. Harrison St., 
Central Connecticut State University Police,1615 Stanley Street, 
Central Falls Police Department,160 Illinois Street, 
Central I.S.D. Police Dept,7622 Us Hwy 69 N, 
Central Lake Police Department,1622 N M-88,PO Box 368
Central Michigan University Police Department,1720 S East Campus Drive,Combined Services Bldg
Central Oklahoma Area Technical School Police,3 Court Circle, 
Central Point Police Department,155 S. Second, 
Central Police Department,Po Box 549, 
Central State University Police Department,1400 Brush Row Road, 
Central Texas College Police Dept.,Box 1800, 
Central Virginia Community College Police Dept.,3506 Wards Road, 
Central Washington University Police Department,400 East University Way, 
Centralia Police Department,114 S Rollins St, 
Centralia Police Department,Po Box 609, 
Centralia Police Dept,222 South Poplar, 
Centre County Sheriff's Office,213 E High St, 
Centre Island Village Police Department,100 Centre Island Road, 
Centre Police Department,401 East Main Street, 
Centreville Police Department,Post Office Box 578, 
Centreville Police Department,1254 Walnut Street, 
Centreville Police Department,420 N. COMMERCE ST, 
Centreville Police Dept,5800 Bond Ave, 
Centuria Police Department,305 Wisconsin Avenue, 
Ceredo Police Department,Post Office Box 691, 
Ceres Department of Public Safety,2727 Third Street, 
Cerritos Community College,11110 E. Alondra Blvd, 
Cerro Gordo County Sheriff's Office,17262 Lark Ave, 
Cerro Gordo Police Dept,Box 497, 
Chadbourn Police Department,602 North Brown St., 
Chadron Police Dept,125 Main Street, 
Chadron State College Police,1000 Main Street, 
Chadwick Police Dept,10 West Second Street,P.O. Box 385
Chaffee County Sheriff's Office,Po Box 699, 
Chaffee Police Department,222 W Yoakum, 
Chaffey College Police,5885 Haven Ave, 
Chagrin Falls Village Police Department,21 West Washington Street, 
Chalfont Borough Police Department,40 N. Main Street, 
Chamberlain Police Department,715 N. Main, 
Chambers County Constable Pct. 1,P. O. Box 539, 
Chambers County Constable Pct. 2,P. O. Box 336, 
Chambers County Constable Pct. 3,"Route 2, Box 99", 
Chambers County Constable Pct. 4,P.O. Box 827, 
Chambers County Constable Pct. 6,7711 Highway 146, 
Chambers County Sheriff's Office,Po Box 998,201 North Court
Chambers County Sheriff's Office,2 Lafayette St, 
Chambersburg Borough Police Department,116 South Second Street, 
Chamblee Police Department,3518 Broad Street, 
Champaign County Sheriff's Office,204 E Main St, 
Champaign County Sheriff's Office,214 N Main St, 
Champaign Police Dept,82 E University Ave, 
Champion Township Police Department,149 Center Street, 
Champlin Police Department,11955 Champlin Dr., 
Chandler Police,417 E. Jefferson St.,P. O. Box 190
Chandler Police Department,250 E. Chicago Street,"MS 303, PO Box 4008"
Chandler Police Department,P. O. Box 425, 
Chandler Police Department,414 Manvel Ave, 
Chandler-Gilbert Community College  - Safety,2626 East Pecos Road, 
Channahon Police Dept,24555 S. Navajo Dr., 
Chanute Police Department,Po Box 907, 
Chapel Hill Police Department,828 Mlk Jr. Blvd., 
Chapel Hill Police Department,P.O. Box 157, 
Chapin Police Department,Po Box 221, 
Chapman Police Department,Po Box 321, 
Chapmanville Police Department,Po Box 426, 
Chardon Police Department,111 Water Street, 
Chariton County Sheriff's Office,307 S Cherry St, 
Chariton Police Department,1023 Linden Ave, 
Charlack Police Department,8401 Midland Blvd, 
Charleroi Borough Police Department,338 Fallowfield Avenue, 
Charles City County Sheriff's Office,10780 Courthouse Rd,P. O. Box 87
Charles City Police Department,105 Milwaukee Mall, 
Charles County Sheriff's Office,6915 Crain Hwy,PO Box 189
Charles Mix County Sheriff's Office,Po Box 610,501 J St
Charles Town Police Department,114 West Liberty Street, 
Charleston County Aviation Authority,5500 International Blvd.  #101, 
Charleston County Sheriff's Office,3505 Pinehaven Dr, 
Charleston Police Department,Post Office Box 420, 
Charleston Police Department,P.O. Box 427, 
Charleston Police Department,P.O. Box 431, 
Charleston Police Department,Post Office Box 2749, 
Charleston Police Department,180 Lockwood Blvd., 
Charleston Police Department,204 N Main Street, 
Charleston Police Dept,614 6Th Street, 
Charlestown Police,701 Main Street, 
Charlestown Police Department,4901 Old Post Road, 
Charlestown Police Department,Po Box 1465, 
Charlevoix County Sheriff's Office,1000 Grant St, 
Charlevoix Police Department,210 State St, 
Charlotte - Mecklenburg Police Department,601 East Trade Street, 
Charlotte County Sheriff's Office,7474 Utilities Rd, 
Charlotte County Sheriff's Office,222 Law Ln, 
Charlotte Douglas International Airport Police,Po Box 19066, 
Charlotte Police Department,111 East Lawrence Ave, 
Charlottesville (City) Sheriff's Office,315 E High St,Ste A
Charlottesville Police Dept.,606 E. Market St., 
Charlottesville-Albemarle Airport Police Dept.,"100 Bowen Loop, Suite 200", 
Charlton County Sheriff's Office,Courthouse Square,100 N. 3rd St.
Charlton Police Department,85 Masonic Home Road, 
Chartiers Township Police Department,2 Buccaneer Dr, 
Chase City Police Department,219 E. Second St., 
Chase County Sheriff's Office,Po Box 628,301 S Walnut
Chase County Sheriff's Office,921 Broadway,PO Box 102
Chase Police Department,Po Box 223, 
Chaska Police Department,2 City Hall Plaza, 
Chataignier Police Department,Po Box 265, 
Chatfield Police Department,21 2Nd Street Se, 
Chatham Borough Police,54 Fairmount Avenue, 
Chatham County Public Schools Campus Police,208 Bull Street,Room 120
Chatham County Sheriff's Office,Po Box 429, 
Chatham County Sheriff's Office,1050 Carl Griffin Dr,PO Box 10026
Chatham Police Department,127 Depot Rd, 
Chatham Police Department,16 Court Place,P O Box 370
Chatham Police Department,Po Box 7, 
Chatham Police Dept,117 E Mulberry, 
Chatham Township Police,401 Southern Boulevard, 
Chatham Village Police Department,77 Main Street, 
Chatom Police Department,Post Office Box 817, 
Chatsworth Police Department,P.O. Box 516, 
Chattahoochee County Sheriff's Office,Po Box 144, 
Chattahoochee Police Department,32 Jefferson Street, 
Chattanooga Housing Police Department,P.O. Box 1486, 
Chattanooga Metro Airport Police,"1001 Airport Road, Suite 14", 
Chattanooga Police Department,P. O. Box 165, 
Chattanooga Police Department,3410 Amnicola Hwy., 
Chattooga County Sheriff's Office,35 W Washington St, 
Chauncey Police Department,P O Box 9, 
Chautauqua County Sheriff's Office,215 N Chautauqua St, 
Chautauqua County Sheriff's Office,15 E Chautauqua St,PO Box 128
Chaves County Sheriff's Office,Po Box 1396,#1 St Mary's Place
Cheatham County Sheriff's Office,100 Public Sq, 
Chebanse Police Dept,P.O. Box 311, 
Cheboygan County Sheriff's Office,870 S Main St,PO Box 70
Cheboygan Dept of Public Safety,403 North Huron, 
Checotah Police Department,131 S.W. Main, 
Cheektowaga Town Police Department,3223 Union Road, 
Chehalis Police Department,350 N Market Blvd, 
Chehalis Tribal Police,Po Box 536, 
Chelan County Sheriff's Office,Po Box 36,401 Washington St Level 1
Chelmsford Police Department,2 Olde North Road, 
Chelsea Police Department,508 Vine Street, 
Chelsea Police Department,19 Park St, 
Chelsea Police Department,104 E Middle St, 
Cheltenham Township Police Department,8230 Old York Road, 
Chemung County Sheriff's Office,203 William St,PO Box 588
Chenango County Sheriff's Office,279 County Route 46, 
Chenequa Police Department,31275 West Highway K, 
Cheney Police Department,215 G Street, 
Cheney Police Department,Po Box I, 
Cheneyville Police Dept.,Po Box 322, 
Chenoa Police Dept,P.O. Box 167, 
Cheraw Police Department,258 Second Street, 
Cherokee County Board of Education Police,P.O. Box 769, 
Cherokee County Constable Pct. 2,P.O. Box 491, 
Cherokee County Constable Pct. 3,207 S. Patton,P. O. Box 183
Cherokee County Constable Pct. 4,Po Box 247, 
Cherokee County Marshal's Office,"90 North Street, Room 378", 
Cherokee County Sheriff's Office,110 Cedar Bluff Rd, 
Cherokee County Sheriff's Office,498 Chattin Dr, 
Cherokee County Sheriff's Office,"Courthouse, 213 W Delaware", 
Cherokee County Sheriff's Office,312 E Frederick St, 
Cherokee County Sheriff's Office,915 E. Country Rd., 
Cherokee County Sheriff's Office,111 N 5Th St, 
Cherokee County Sheriff's Office,272 Underwood, 
Cherokee County Sheriff's Office,577 Regal St., 
Cherokee Nation Tribal Marshal Service,P. O. Box 948, 
Cherokee Police Department,121 N. Grand, 
Cherokee Police Department,Post Office Box D, 
Cherokee Police Department,Po Box 201, 
Cherokee Police Department,111 N 5Th St, 
Cherokee Tribal Police Department,PO Box 1330, 
Cherokee Village Police Department,P.O. Box 129, 
Cherry County Sheriff's Office,Po Box 49,365 N Main
Cherry Hill Police,P.O. Box 5002, 
Cherry Hill School District Police,45 Ronaldo Terrace, 
Cherry Hills Village Police Department,2450 East Quincy Avenue, 
Cherry Hospital Police Dept,201 Stevens Mill RD, 
Cherry Valley Police Dept,806 East State Street, 
Cherryvale Police Department,123 W Main St, 
Cherryville Police Department,704 East Church Street, 
Chesaning Police Department,1100 West Broad Street, 
Chesapeake (City) Sheriff's Office,401 Albemarle Dr, 
Chesapeake Bay Bridge-Tunnel Police Dept,P.O. Box 111, 
Chesapeake Police Department,304 Albemarle Drive, 
Chesapeake Police Department,12404 Maccorkle Avenue, 
Chesapeake Police Department,211 Third Avenue,P.O. Box 388
Cheshire County Sheriff's Office,12 Court St, 
Cheshire Police Department,90 Church St, 
Cheshire Police Department,500 Highland Avenue, 
Chesilhurst Borough Police,201 Grant Avenue, 
Chesnee Police Department,201 West Cherokee Street, 
Chester Borough Police,300 Main Street, 
Chester City Police Department,160 East Seventh Street, 
Chester County Detectives,"201 W. Market St., Suite 4450", 
Chester County Sheriff's Office,2740 Dawson Dr,PO Box 727
Chester County Sheriff's Office,Po Box 2746,201 West Market Street
Chester County Sheriff's Office,Po Box 19,126 Crook Ave
Chester Housing Police Department,35 east 5th Street, 
Chester Police Department,2740 Dawson Drive, 
Chester Police Department,P.O. Box 370, 
Chester Police Department,203 Middlesex Avenue, 
Chester Police Department,84 Chester Street, 
Chester Police Department,600 Indiana Avenue, 
Chester Police Dept,1330 Swanwick Street, 
Chester Town Police Department,1786 Kings Highway, 
Chester Township Police,1 Parker Road, 
Chester Township Police Department,12696 Opalocka Drive, 
Chester Township Police Department,1840 Harris Street, 
Chester Village Police Department,47 Main Street, 
Chesterfield County Police Department,P. O. Box 148, 
Chesterfield County Sheriff's Office,Po Box 7,9500 Courthouse Rd
Chesterfield County Sheriff's Office,200 W Main St, 
Chesterfield Police,17 Veteran'S Boulevard,P.O. Box 95
Chesterfield Police Department,690 Chesterfield Parkway West, 
Chesterfield Police Department,110 Main Street, 
Chesterfield Police Department,Po Box 231, 
Chesterfield Township Police,300 Bordentown-Chesterfield Rd., 
Chesterfield Township Police Department,46525 Continental Drive, 
Chesterton Police,790 Broadway Street, 
Chestertown Police Department,333 South Cross Street, 
Cheswick Borough Police Department,220 S Atlantic Ave, 
Cheswold Police Department,P.O. Box 220, 
Chetek Police Department,101 Moore Street,P.O. Box 537
Chetopa Police Department,Po Box 203, 
Cheverly Police Department,6401 Forest Road, 
Cheviot Police Department,3814 Harrison Ave, 
Chevy Chase Police Department,5906 Connecticut Ave, 
Chewelah Police Department,Po Box 258, 
Cheyenne County Sheriff's Office,Po Box 363,91 E 1st
Cheyenne County Sheriff's Office,212 E. Washington,P.O. Box 613
Cheyenne County Sheriff's Office,1000 10Th Ave,PO Box 75
Cheyenne Police Department,2020 Capitol Ave, 
Cheyenne River Tribal Fish/Game/Parks Police,2105 D. St., 
Cheyenne River Tribal Police Department,2105 D. St, 
Cheyney University,Humphrey'S Hall Annex,Cheyney Road
Chicago Dept of Aviation Police,Bldg 850,10601 W. Higgins
Chicago Heights Police Dept,1601 South Halsted Street, 
Chicago Police Dept,3510 S Michigan, 
Chicago Ridge Police Dept,10425 South Ridgeland Ave., 
Chicago State University Police,9501 S King Dr, 
Chichester Police Department,54 Main Street, 
Chickamauga Police Dept.,103 Crittenden Ave.,P.O. Box 69
Chickasaw County Sheriff's Office,130 Lancaster Circle, 
Chickasaw County Sheriff's Office,116 N Chestnut Ave,PO Box 427
Chickasaw Nation Lighthorse Tribal Police Dept,P. O. Box 1548, 
Chickasaw Police Department,8 Lange Drive, 
Chickasha Police Department,101 N. 6Th Street, 
Chico Police Department,1460 Humboldt Road, 
Chicopee Police Department,110 Church St, 
Chicot County Sheriff's Office,513 Main St, 
Chiefland Police Department,14 East Park Avenue, 
Chikaming Township Police Department,13535 Red Arrow Highway,PO Box 258
Childersburg Police Department,118 Sixth Avenue Southwest, 
Childress County Sheriff's Office,1005 Avenue F NE, 
Childress Police Department,P.O. Box 1087, 
Chilhowie Police Department,P O Box 5012, 
Chillicothe Police Department,613 Walnut Street, 
Chillicothe Police Department,28 North Paint Street, 
Chillicothe Police Department,Box 546, 
Chillicothe Police Dept,823 N 2Nd Street, 
Chilmark Police Department,Po Box 340,15 State Rd
Chilton County Sheriff's Office,500 2Nd Ave N, 
Chilton Police Department,42 School Street, 
China Grove Police Department,333 N. Main Street, 
China Spring I.S.D. Police Dept.,P. O. Box 250, 
Chincoteague Police Department,6150 Community Drive, 
Chino Police Department,13250 Central Avenue, 
Chino Valley Police Department,1020 Palomino Road, 
Chinook Police Department,Po Box 1177, 
Chipley Police Department,1432 Jackson Av.,PO Box 1007
Chippewa County Sheriff's Office,32 E Spruce St, 
Chippewa County Sheriff's Office,325 Court St, 
Chippewa County Sheriff's Office,629 N 11Th St, 
Chippewa Falls Police Department,210 Island Street, 
Chippewa Township Police Department,2811 Darlington Road, 
Chisago County Sheriff's Office,"313 N Main St, Ste 100", 
Chisholm Police Department,301 W. Lake St., 
Chitimacha Tribal Police Department,Po Box 700, 
Chittenango Village Police Department,222 Genesee Street, 
Chittenden County Sheriff's Office,Po Box 1426, 
Chocolay Township Police Department,5010 Us 41 South, 
Chocowinity Police Department,Po Box 145, 
Choctaw County Sheriff's Office,122 Jailhouse Rd, 
Choctaw County Sheriff's Office,117 S Mulberry Ave Ste 11, 
Choctaw County Sheriff's Office,"Courthouse, 305 E. Jefferson", 
Choctaw Nation Tribal Police Department,P. O. Drawer 1210, 
Choctaw Police Department,P. O. Box 97, 
Choctaw Tribal Police Dept,125 River Ridge Circle, 
Choudrant Police Department,Po Box 288, 
Chouteau County Sheriff's Office,Po Box 459,1215 Washington
Chouteau Police Department,P. O. Box 248, 
Chowan County Sheriff's Office,Po Box 78, 
Chowchilla Police Department,122 Trinity Avenue, 
Christian County Sheriff's Office,110 W Elm St Rm 70, 
Christian County Sheriff's Office,301 W Franklin St,PO Box 678
Christian County Sheriff's Office,216 W 7Th St, 
Christiansburg Police Department,10 East Main Street, 
Christopher Newport University Police Dept,1 University Place, 
Christopher Police Dept,208 North Thomas, 
Chubbuck Police Department,Po Box 5604, 
Chula Vista Police Department,315 Fourth Avenue, 
Church Hill Public Safety,P.O. Box 366, 
Church Point Police Department,102 North Main St., 
Churchill Borough Police Department,2300 William Penn Hwy, 
Churchill County Sheriff's Office,73 N Maine St, 
Churubusco Police,202 North Main Street, 
Cibola County Sheriff's Office,515 W High St, 
Cibolo Police Department,P. O. Box 826, 
Cicero Police,70 South Byron Street,P. O. Box 42
Cicero Police Dept,4901 W Cermak Rd.,4901 W. Cermak Rd.
Cicero Town Police Department,8236 Brewton Road, 
Cimarron County Sheriff's Office,Po Box 835,Courthouse Square
Cimarron Police Department,P.O. Box 654, 
Cincinnati Police Department,310 Ezzard Charles Drive, 
Cincinnati State College Police Department,Campus Police Department,3520 Central Parkway
Cincinnati/Northern Kentucky Airport Police Dept,2939 Terminal Drive, 
Cinnaminson Township Police,900 Manor Road, 
Circle USD #375 Police Department,Po Box 9, 
Circleville Police Department,151 East Franklin Street, 
Cisco Police Department,P. O. Box 110,502 HILTON AVE.
Citadel Public Safety,171 Moultrie Street, 
Citizen Potawatomi Tribal Police,1601 S. Gordon Cooper, 
Citronelle Police Department,19135 South Main Street, 
Citrus County Sheriff's Office,1 Dr Martin Luther King Jr Ave, 
Citrus Heights Police Department,6315 Fountain Square Dr., 
City College of Chicago - Truman College Police,1145 W Wilson Ave, 
Clackamas Community College Dept of Public Safety,19600 S. Molalla Avenue, 
Clackamas County Sheriff's Office,2223 Kaen Rd, 
Claflin Police Department,Po Box 383, 
Claiborne County Sheriff's Office,Po Box 427, 
Claiborne County Sheriff's Office,Po Box 245, 
Claiborne Parish Sheriff's Office,613 E Main St, 
Clairton City Police Department,551 Ravensburg Blvd., 
Clallam County Sheriff's Office,223 E 4Th St Ste 12, 
Clanton Police Department,Post Office Box 580, 
Clara City Police Department,215 1St St. Ne,P.O. BOX 560
Clare County Sheriff's Office,255 W Main St, 
Clare Police Department,207 W Fifth St, 
Claremont Police Department,Po Box 446, 
Claremont Police Department,58 Opera House Square, 
Claremont Police Department,570 W. Bonita Avenue, 
Claremore Police Department,200 West First, 
Clarence Police Department,Po Box 309, 
Clarence Police Department,409 East Elm St #A,100 W Maple
Clarence Police Department,Po Box 418, 
Clarendon County Sheriff's Office,Po Box 1289, 
Clarendon Hills Police Dept,201 Burlington Ave, 
Clarendon Police Department,270 Madison, 
Clarinda Police Department,200 S 15Th St, 
Clarion Borough Police Department,1400 East Main Street, 
Clarion County Sheriff's Office,"Courthouse, 421 Main St", 
Clarion Police Department,117 1St St Sw, 
Clarion University Police,Thorn 1, 
Clark County Park District Police,930 South Tecumseh Road, 
Clark County Park Police,2901 E. Sunset Road, 
Clark County School District Police Dept,120 Corporate Park Drive, 
Clark County Schools Division of Law Enforcement,620 Boone Ave., 
Clark County Sheriff's Office,707 W 13Th St,PO Box 410
Clark County Sheriff's Office,Po Box 296, 
Clark County Sheriff's Office,Po Box 566,221 West Ninth Ave
Clark County Sheriff's Office,120 N Fountain Ave, 
Clark County Sheriff's Office,501 E Court Ave, 
Clark County Sheriff's Office,17 Cleveland Ave, 
Clark County Sheriff's Office,518 N Lincoln St Ste 1, 
Clark County Sheriff's Office,517 Court St Rm 308, 
Clark County Sheriff's Office,Po Box 327,Main and Thomas Sts
Clark County Sheriff's Office,207 N 5Th St, 
Clark County Sheriff's Office,406 S 5Th St,Courthouse Sq
Clark Police,315 Westfield Avenue, 
Clarkdale Police Department,9Th And Main,PO Box 308
Clarke County Sheriff's Office,444 W Donald St, 
Clarke County Sheriff's Office,Po Box 49,100 N Church St
Clarke County Sheriff's Office,149 Clark St,PO Box 913
Clarke County Sheriff's Office,325 E Washington St, 
Clarke County Sheriff's Office,220 Town Line Rd,PO Box 537
Clarkesville Police Department,Post Office Box 21, 
Clarkfield -Boyd Police Department,1029 10Th  Avenue, 
Clarks Police Department,Po Box 360, 
Clarks Police Dept,202 East Amity, 
Clarks Summit Borough Police Department,304 S. State Street, 
Clarksburg Police Department,River Rd, 
Clarksburg Police Department,222 West Main Street, 
Clarksburg Police Department,P.O. Box 117, 
Clarksdale Police Department,Post Office Box 940, 
Clarkson Police Department,P.O. Box 10, 
Clarkston Police Department,830 5Th Street, 
Clarkston Police Department,3921 Church Street, 
Clarkston Police Department,3 East Church St, 
Clarkstown Town Police Department,20 Maple Avenue, 
Clarksville Police,1970 Broadway Street, 
Clarksville Police Department,800 W. Main Street, 
Clarksville Police Department,Po Box 309, 
Clarksville Police Department,P.O. Box 1147, 
Clarksville Police Department,203 Walnut Street, 
Clarksville Police Department,135 Commerce Street, 
Clarkton Police Department,208 S Main   Po Box 98, 
Clatskanie Police Department,Po Box 249, 
Clatsop County Sheriff's Office,P.O. Box 658, 
Clawson Police Department,425 North Main, 
Claxton Police Department,204 W. Railroad St., 
Clay Center Police Department,P O Box 129, 
Clay Center Police Department,Po Box 115, 
Clay Center Police Dept,101 S. Martin, 
Clay City Police,111 West 8Th St., 
Clay City Police Department,P.O. Box 548, 
Clay County Constable Pct. 1,215 W. Gilbert Street, 
Clay County Parks Dept.,17201 Paradesian, 
Clay County Sheriff's Office,Po Box 429, 
Clay County Sheriff's Office,Po Box 22, 
Clay County Sheriff's Office,"102 Richmond Rd, Ste 1", 
Clay County Sheriff's Office,611 East Jackson Street, 
Clay County Sheriff's Office,Po Box 267, 
Clay County Sheriff's Office,539 Lincoln Ave,PO Box 115
Clay County Sheriff's Office,901 N Orange Ave,PO Box 548
Clay County Sheriff's Office,15 N Washington St, 
Clay County Sheriff's Office,268 S 2Nd Ave, 
Clay County Sheriff's Office,400 W Lake Ave,PO Box 1-A
Clay County Sheriff's Office,330 W Broad St,PO Box 142
Clay County Sheriff's Office,915 9Th Ave N,PO Box 280
Clay County Sheriff's Office,104 E Edgar St, 
Clay County Sheriff's Office,Po Box 757,41771 Hwy 77 N
Clay County Sheriff's Office,Po Box 720, 
Clay County Sheriff's Office,215 W Gilbert St, 
Clay County Sheriff's Office,3121 W 4Th St,PO Box 7957
Clay County Sheriff's Office,12 S Water St, 
Clay Police Department,P.O. Box 425, 
Clay Township Police Department,870 Durlach Road, 
Clay Township Police Department,8207 Arlington Rd, 
Clay Township Police Department,4710 Point Tremble Rd, 
Clay Township Police Department,21774 West Holts-East Road, 
Claycomo Police Department,115 E 69 Highway, 
Clayhatchee Police Department,1 West Main Street, 
Clayton County Police Department,7930 N. Mcdonough Street, 
Clayton County Sheriff's Office,P.O. Box 10,22680 230th Street
Clayton County Sheriff's Office,9157 Tara Blvd, 
Clayton Police,125 North Delsea Drive, 
Clayton Police Department,101 Prentice Street,P.O. Box 264
Clayton Police Department,P.O. Box 1130, 
Clayton Police Department,Po Box 203, 
Clayton Police Department,6996 Taywood Road, 
Clayton Police Department,227 S Central Ave, 
Clayton Police Department,112 North Front, 
Clayton Police Department,14 Emergency Lane, 
Clayton Police Department,6000 Heritage Trail, 
Clayton Police Department,P. O. Box 279, 
Clayton Police Department,Po Box  879, 
Clayton Police Department,Post Office Box 385, 
Clayton State University Dept of Public Safety,2000 Clayton State Blvd, 
Clayton Township Police Department,2011 S Morrish Rd, 
Clayton Village Police Department,Municipal Building,P.O. Box 250
Cle Elum Police Department,"700 East 1St Street, Suite B", 
Clear Creek County Sheriff's Office,Po Box 2000, 
Clear Lake Police Department,350 Fourth Avenue,P.O. Box 48
Clear Lake Shores Police Department,1006 S. Shore Drive, 
Clear Lake-Ventura Police Department,Po Box 291, 
Clearbrook Police Department,P.O. Box 52, 
Clearcreek Township Police Department,7593 Bunnell Hill Road, 
Clearfield Borough Police Department,14 S Front St, 
Clearfield County Sheriff's Office,1 N 2Nd St Ste 116,Courthouse
Clearfield Police Department,55 South State Street, 
